[Sat May 07 00:54:24.954588 2016] [:error] [pid 5743] [client 127.0.0.1:35845] PHP Fatal error:  Uncaught exception 'RuntimeException' with message 'Failed to write cache file "/var/www/example.com/var/cache/dev/classes.php".' in /var/www/example.com/vendor/symfony/symfony/src/Symfony/Component/ClassLoader/ClassCollectionLoader.php:245\nStack trace:\n#0 /var/www/example.com/vendor/symfony/symfony/src/Symfony/Component/ClassLoader/ClassCollectionLoader.php(119): Symfony\\Component\\ClassLoader\\ClassCollectionLoader::writeCacheFile('/var/www/exampl...', '<?php ?namespac...')\n#1 /var/www/example.com/var/bootstrap.php.cache(2425): Symfony\\Component\\ClassLoader\\ClassCollectionLoader::load(Array, '/var/www/exampl...', 'classes', true, false, '.php')\n#2 /var/www/example.com/var/bootstrap.php.cache(2270): Symfony\\Component\\HttpKernel\\Kernel->doLoadClassCache('classes', '.php')\n#3 /var/www/example.com/var/bootstrap.php.cache(2304): Symfony\\Component\\HttpKernel\\Kernel->boot()\n#4 /var/www/example.com/web/app.php(28): Symfony\\Component\\HttpKernel\\Kernel->handle(Object(Symfony\\Component\\HttpFoundation\\Request))\n#5 {main} in /var/www/example.com/vendor/symfony/symfony/src/Symfony/Component/ClassLoader/ClassCollectionLoader.php on line 245
[Tue May 10 22:06:06.076997 2016] [:error] [pid 27704] [client 127.0.0.1:51779] PHP Parse error:  syntax error, unexpected '}' in /var/www/example.com/src/AppBundle/Controller/DefaultController.php on line 28
[Tue May 10 22:06:07.929633 2016] [:error] [pid 27695] [client 127.0.0.1:51782] PHP Parse error:  syntax error, unexpected '}' in /var/www/example.com/src/AppBundle/Controller/DefaultController.php on line 28
[Tue May 10 22:06:24.304063 2016] [:error] [pid 27695] [client 127.0.0.1:51789] PHP Fatal error:  Call to undefined function AppBundle\\Controller\\tidy_parse_string() in /var/www/example.com/src/AppBundle/Controller/DefaultController.php on line 23
[Tue May 10 22:06:25.979770 2016] [:error] [pid 29079] [client 127.0.0.1:51792] PHP Fatal error:  Call to undefined function AppBundle\\Controller\\tidy_parse_string() in /var/www/example.com/src/AppBundle/Controller/DefaultController.php on line 23
[Tue May 10 22:06:26.892825 2016] [:error] [pid 29080] [client 127.0.0.1:51793] PHP Fatal error:  Call to undefined function AppBundle\\Controller\\tidy_parse_string() in /var/www/example.com/src/AppBundle/Controller/DefaultController.php on line 23
[Tue May 10 22:07:02.422115 2016] [:error] [pid 27696] [client 127.0.0.1:51804] PHP Fatal error:  Class 'AppBundle\\Controller\\DOMDocument' not found in /var/www/example.com/src/AppBundle/Controller/DefaultController.php on line 19
[Tue May 10 22:07:04.484031 2016] [:error] [pid 27695] [client 127.0.0.1:51807] PHP Fatal error:  Class 'AppBundle\\Controller\\DOMDocument' not found in /var/www/example.com/src/AppBundle/Controller/DefaultController.php on line 19
[Tue May 10 22:07:55.069547 2016] [:error] [pid 27704] [client 127.0.0.1:51817] PHP Parse error:  syntax error, unexpected '$doc' (T_VARIABLE) in /var/www/example.com/src/AppBundle/Controller/DefaultController.php on line 22
[Tue May 10 22:07:56.899117 2016] [:error] [pid 27697] [client 127.0.0.1:51819] PHP Parse error:  syntax error, unexpected '$doc' (T_VARIABLE) in /var/www/example.com/src/AppBundle/Controller/DefaultController.php on line 22
[Tue May 10 22:44:23.709923 2016] [:error] [pid 27696] [client 127.0.0.1:52484] PHP Parse error:  syntax error, unexpected '$nodes' (T_VARIABLE) in /var/www/example.com/src/AppBundle/Controller/DefaultController.php on line 36
[Tue May 10 22:57:47.518263 2016] [:error] [pid 27696] [client 127.0.0.1:52559] PHP Parse error:  syntax error, unexpected 'foreach' (T_FOREACH) in /var/www/example.com/src/AppBundle/Controller/DefaultController.php on line 24, referer: http://example.com/
[Tue May 10 22:57:49.334494 2016] [:error] [pid 31286] [client 127.0.0.1:52562] PHP Parse error:  syntax error, unexpected 'foreach' (T_FOREACH) in /var/www/example.com/src/AppBundle/Controller/DefaultController.php on line 24, referer: http://example.com/
[Mon May 16 20:23:29.658012 2016] [:error] [pid 6552] [client 127.0.0.1:57274] PHP Fatal error:  Call to undefined method DOMAttr::__toString() in /var/www/example.com/src/AppBundle/Controller/DefaultController.php on line 32
[Mon May 16 20:23:31.554454 2016] [:error] [pid 6554] [client 127.0.0.1:57277] PHP Fatal error:  Call to undefined method DOMAttr::__toString() in /var/www/example.com/src/AppBundle/Controller/DefaultController.php on line 32
[Mon May 16 23:21:24.567856 2016] [:error] [pid 6554] [client 127.0.0.1:58959] PHP Fatal error:  Call to undefined method DOMDocument::textContent() in /var/www/example.com/src/AppBundle/Controller/DefaultController.php on line 94
[Mon May 16 23:21:28.905043 2016] [:error] [pid 7381] [client 127.0.0.1:58963] PHP Fatal error:  Call to undefined method DOMDocument::textContent() in /var/www/example.com/src/AppBundle/Controller/DefaultController.php on line 94
[Mon May 16 23:31:27.369396 2016] [:error] [pid 6555] [client 127.0.0.1:59086] PHP Fatal error:  AppBundle\\Controller\\DefaultController::vldAction(): Cannot write property in /var/www/example.com/src/AppBundle/Controller/DefaultController.php on line 94
[Mon May 16 23:32:50.766181 2016] [:error] [pid 6554] [client 127.0.0.1:59098] PHP Fatal error:  AppBundle\\Controller\\DefaultController::vldAction(): Cannot write property in /var/www/example.com/src/AppBundle/Controller/DefaultController.php on line 93
[Mon May 16 23:36:14.435780 2016] [:error] [pid 7381] [client 127.0.0.1:59157] PHP Parse error:  syntax error, unexpected ')' in /var/www/example.com/src/AppBundle/Controller/DefaultController.php on line 97
[Tue May 17 00:05:37.552253 2016] [:error] [pid 6553] [client 127.0.0.1:59615] PHP Parse error:  syntax error, unexpected 'margintop7' (T_STRING) in /var/www/example.com/src/AppBundle/Controller/DefaultController.php on line 103
[Tue May 17 00:05:40.395600 2016] [:error] [pid 11694] [client 127.0.0.1:59617] PHP Parse error:  syntax error, unexpected 'margintop7' (T_STRING) in /var/www/example.com/src/AppBundle/Controller/DefaultController.php on line 103
